"SYMBOL","logFC","AveExpr","t","P.value","adj.P.value","B","contrast","ensembleID"
"NSMCE4A",-0.311363472168264,3.35957296924555,-0.72879285512108,0.480245660748679,0.635070275920457,-6.53938288182483,"HAEC-control","ENSG00000107672"
"PLEKHA1",-0.479574271231262,5.3281027446929,-2.42386258392839,0.0322714132153968,0.107226508254475,-4.55875589162032,"HAEC-control","ENSG00000107679"
"UNC5B",2.56626701194692,-0.152308571031071,3.08262903925524,0.0095902477894258,0.0513379702173213,-2.54307413595939,"HAEC-control","ENSG00000107731"
"CDH23",4.62743766876433,2.0571148580489,4.72476773037313,0.000506194797838722,0.0105879644761353,0.116044936854604,"HAEC-control","ENSG00000107736"
"VSIR",-0.240807455316935,2.58910838324599,-0.495809649250793,0.629071208594123,0.755632208704403,-6.58888416250271,"HAEC-control","ENSG00000107738"
"SPOCK2",-2.92899592493091,0.654507543771953,-1.66670745708251,0.121690290814348,0.257579435175223,-4.87215697444185,"HAEC-control","ENSG00000107742"
"MICU1",-0.0583274973154611,4.96291773632661,-0.341866555567801,0.738421131464826,0.836305207945396,-7.04544524642661,"HAEC-control","ENSG00000107745"
"PPP3CB",-0.156632245885222,5.43612036664191,-1.07804096881467,0.302413021687424,0.468905683279118,-6.53463381664838,"HAEC-control","ENSG00000107758"
"CCSER2",-0.330975330850766,5.53559613523235,-1.31724504632212,0.212591119484095,0.373343057488087,-6.25950898356086,"HAEC-control","ENSG00000107771"
"BMPR1A",-0.15051013255481,5.27478404383668,-0.611301942899466,0.552514508257768,0.696203069584855,-6.92931263387053,"HAEC-control","ENSG00000107779"
"MINPP1",-0.0754921854876311,3.95279059016511,-0.337683155663098,0.741492243569183,0.83857089509197,-6.91289227193502,"HAEC-control","ENSG00000107789"
"ACTA2",0.128791661804683,4.18140131525471,0.272612755662312,0.789830255448674,0.872288978827907,-6.96876844425809,"HAEC-control","ENSG00000107796"
"LIPA",-0.964925262767341,6.37904157792752,-2.26863072990395,0.0427446273569947,0.128962154521597,-4.77887181486482,"HAEC-control","ENSG00000107798"
"TWNK",-0.00633735238301902,3.14355258351636,-0.0183602969542247,0.985656099635903,0.99157385413985,-6.79206570155855,"HAEC-control","ENSG00000107815"
"LZTS2",0.550100394780482,6.10196444068943,2.44979342688402,0.0307823926159835,0.104165477553718,-4.51050494694835,"HAEC-control","ENSG00000107816"
